accountsservice 0.6.50-1
terminus-font 4.46-1.1
termite 13-3
termite-terminfo 13-3
testdisk 7.0-4
texinfo 6.5-1
thunar-archive-plugin-gtk3 0.4.0-1
thunar-gtk3 1.8.1-13
thunar-media-tags-plugin 0.3.0-1
thunar-volman-gtk3 0.9.0-1
timeshift 18.8-1
tint2 16.6.1-1
tlp 1.1-1.0
traceroute 2.1.0-1
ttf-dejavu 2.37-2
ttf-font-awesome 5.2.0-1
ttf-font-logos 0.10-4
ttf-icomoon-icons 1.0-1
ttf-material-icons r124.224895a86-1
ttf-polybar-icons 1.0-1
ttf-roboto 2.138-1
tumbler 0.2.1-2
udiskie 1.7.5-2
unace 2.5-10
unarchiver 1.10.1-4
unarj 2.63a-5
unrar 1:5.6.5-1
unzip 6.0-12
usbutils 010-1
util-linux 2.32.1-2
vi 1:070224-3
viewnior 1.6-3
wget 1.19.5-1
which 2.21-2
whois 5.3.2-1
wireless_tools 30.pre9-2
wmctrl 1.07-5
wpa_supplicant 1:2.6-12
xcape 1.2-3
xcb-util-cursor 0.1.3-1
xcmenu 20140816.23-1
xcursor-breeze 5.11.5-1
xdg-user-dirs 0.17-1
xdg-user-dirs-gtk 0.10+9+g5b7efc6-1
xdg-utils 1.1.3-3
xdotool 3.20160805.1-1
xed 1.8.3-1
xf86-input-libinput 0.28.0-1
xf86-input-vmmouse 13.1.0-3
xf86-video-vmware 13.3.0-1
xfburn 0.5.5-1
xfce4-settings-gtk3 4.13.4-3
xfsprogs 4.17.0-1
xorg-server 1.20.1-1
xorg-server-common 1.20.1-1
xorg-xbacklight 1.2.2-1
xorg-xinit 1.4.0-3
xorg-xinput 1.6.2-2
xorg-xkill 1.0.5-1
xorg-xprop 1.2.3-1
xterm 335-1
yajl 2.1.0-2
yay 8.998-2
zenity 3.28.1-1
zsh 5.5.1-2
